BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	"Fatty Acid, Branched"	38768	LC/MS Neg	100002945
(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	"Fatty Acid, Branched"	38296	LC/MS Neg	100002356
(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	63436	LC/MS Neg	100021502
"(2,4 or 2,5)-dimethylphenol sulfate"	Xenobiotics	Food Component/Plant	62533	LC/MS Neg	100020519
(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	57814	LC/MS Pos Early	100016038
(R)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	43264	LC/MS Pos Early	100003926
(S)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	52984	LC/MS Pos Early	100009271
"1,2,3-benzenetriol sulfate (2)"	Xenobiotics	Chemical	48762	LC/MS Neg	100006374
"1,3,7-trimethylurate"	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397
"1,3-dimethylurate"	Xenobiotics	Xanthine Metabolism	32391	LC/MS Neg	100001106
"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	20675	LC/MS Neg	100000580
"1,6-anhydroglucose"	Xenobiotics	Food Component/Plant	21049	LC/MS Polar	100000939
"1,7-dimethylurate"	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399
1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	46325	LC/MS Neg	100004442
1-carboxyethylisoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62558	LC/MS Neg	100020427
1-carboxyethylleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62559	LC/MS Neg	100020425
1-carboxyethylphenylalanine	Amino Acid	Phenylalanine Metabolism	62566	LC/MS Neg	100020419
1-carboxyethyltyrosine	Amino Acid	Tyrosine Metabolism	62564	LC/MS Neg	100020421
1-carboxyethylvaline	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62562	LC/MS Neg	100020423
1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug - Other	38140	LC/MS Neg	100002394
1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	52690	LC/MS Polar	100009082
1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	54885	LC/MS Neg	100009227
1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208
1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	62946	LC/MS Pos Early	100002910
